id,name,artists,cover_url,popularity,duration_ms,explicit,age_days,artist_popularity,artist_followers,genres,n_artist_genres,isrc_country
6T8cJz5lAqGer9GUHGyelE,God's Plan,Drake,https://i.scdn.co/image/ab67616d00001e02689b62c26ee70aa450cae449,3,198960,1,2668,98,98452603,rap,1,US
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452,82,260252,0,3089,97,104691184,,0,US
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,https://i.scdn.co/image/ab67616d00001e0213b3e37318a0c247b550bccd,86,281560,0,3977,90,120352963,soft pop,1,GB
3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,https://i.scdn.co/image/ab67616d00001e02b6d9a4fbb0bd49f0f034aead,11,233720,0,3467,91,82284221,,0,US
2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga, Bradley Cooper",https://i.scdn.co/image/ab67616d00001e02e2d156fdc691f57900134342,87,215733,0,2410,95,37740851,art pop|pop,2,US
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,https://i.scdn.co/image/ab67616d00001e02e21cc1db05580b6f2d2a3b6e,90,242373,0,6183,91,58281729,,0,GB
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Bruno Mars,https://i.scdn.co/image/ab67616d00001e02f60070dce96a2c1b70cf6ff0,84,220734,0,5479,94,71508691,,0,US
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,84,194087,0,2235,95,111545126,,0,US
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,https://i.scdn.co/image/ab67616d00001e0294c9217a398f5174757c0c78,88,269560,0,4272,77,7715366,soft pop|neo soul,2,US
5g7sDjBhZ4I3gcFIpkrLuI,Locked out of Heaven,Bruno Mars,https://i.scdn.co/image/ab67616d00001e0249055dce3554e72e82082980,56,233653,0,4540,94,71508691,,0,US
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,https://i.scdn.co/image/ab67616d00001e02232711f7d66a1e19e89e28c5,90,206693,0,3097,94,71508691,,0,US
7ujx3NYtwO2LkmKGz59mXp,HUMBLE.,Kendrick Lamar,https://i.scdn.co/image/ab67616d00001e029e0062560d8bcccca15d412a,4,177000,1,2949,96,41064772,hip hop|west coast hip hop,2,US
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,https://i.scdn.co/image/ab67616d00001e022df0d98a423025032d0db1f7,88,202333,0,3649,85,25362913,,0,US
25khomWgBVamSdKw7hzm3l,The Hills,The Weeknd,https://i.scdn.co/image/ab67616d00001e02aac98daa18e4edf54d7a0a70,2,242253,1,3544,97,104691184,,0,US
5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a,87,242013,1,1451,88,45659380,,0,US
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,https://i.scdn.co/image/ab67616d00001e0270dbc9f47669d120ad874ec1,81,153946,0,884,93,29676514,r&b,1,US
